method,target_k,positive_hits,negative_hits,false_negatives,top_k_size,positive_totals,negative_totals,precision_micro,positive_recall_micro,f1_micro,negative_specificity_micro,negative_exposure_micro,positive_hits_per_group_mean,negative_hits_per_group_mean,precision_macro,positive_recall_macro,f1_macro,negative_specificity_macro,negative_exposure_macro,eligible_positive_groups,eligible_precision_groups,eligible_f1_groups,eligible_negative_groups
RRF_A0.80_X0.20_C60,10,73,18,87,1705,160,131,0.8021978021978022,0.45625,0.5816733067729084,0.8625954198473282,0.13740458015267176,1.5208333333333333,0.4864864864864865,0.7135105204872647,0.5368348223127635,0.8457183441558441,0.6811454311454311,0.31885456885456886,48,43,32,37
RRF_A0.70_X0.30_C10,10,72,18,88,1705,160,131,0.8,0.45,0.576,0.8625954198473282,0.13740458015267176,1.5,0.4864864864864865,0.726461038961039,0.5696631051410463,0.8342055003819709,0.6811454311454311,0.31885456885456886,48,44,34,37
RRF_A0.70_X0.30_C20,10,70,18,90,1705,160,131,0.7954545454545454,0.4375,0.5645161290322581,0.8625954198473282,0.13740458015267176,1.4583333333333333,0.4864864864864865,0.7181616832779624,0.5469358324137736,0.8257182211727666,0.6811454311454311,0.31885456885456886,48,43,33,37
RRF_A0.70_X0.30_C40,10,69,16,91,1705,160,131,0.8117647058823529,0.43125,0.563265306122449,0.8778625954198473,0.12213740458015267,1.4375,0.43243243243243246,0.7312925170068028,0.5173903778683191,0.8245759448884449,0.7171814671814671,0.2828185328185328,48,42,32,37
RRF_A0.70_X0.30_C50,10,68,14,92,1705,160,131,0.8292682926829268,0.425,0.5619834710743802,0.8931297709923665,0.10687022900763359,1.4166666666666667,0.3783783783783784,0.7428571428571429,0.5069737112016524,0.8296697925730184,0.7442084942084942,0.2557915057915058,48,40,31,37
RRF_A0.70_X0.30_C60,10,68,14,92,1705,160,131,0.8292682926829268,0.425,0.5619834710743802,0.8931297709923665,0.10687022900763359,1.4166666666666667,0.3783783783783784,0.7371794871794872,0.48736586806439747,0.8261032301032301,0.7442084942084942,0.2557915057915058,48,39,30,37
RRF_A0.60_X0.40_C10,10,69,17,91,1705,160,131,0.8023255813953488,0.43125,0.5609756097560976,0.8702290076335878,0.1297709923664122,1.4375,0.4594594594594595,0.727906976744186,0.5439426654500183,0.8315094508770399,0.7081724581724582,0.29182754182754184,48,43,33,37
ARAGORN_WITH_ARAX_FILTER_T100,10,67,15,93,1705,160,131,0.8170731707317073,0.41875,0.5537190082644629,0.8854961832061069,0.11450381679389313,1.3958333333333333,0.40540540540540543,0.7189189189189189,0.4722774842260136,0.8443846629560915,0.7126769626769627,0.2873230373230373,48,37,28,37
RRF_A0.60_X0.40_C20,10,66,15,94,1705,160,131,0.8148148148148148,0.4125,0.5477178423236515,0.8854961832061069,0.11450381679389313,1.375,0.40540540540540543,0.7261904761904762,0.510609332116685,0.8128627109605371,0.7171814671814671,0.2828185328185328,48,42,32,37
RRF_A0.60_X0.40_C40,10,61,14,99,1705,160,131,0.8133333333333334,0.38125,0.5191489361702127,0.8931297709923665,0.10687022900763359,1.2708333333333333,0.3783783783783784,0.7361111111111112,0.45435933211668506,0.8218430982406137,0.7474259974259975,0.2525740025740026,48,36,28,37
RRF_A0.60_X0.40_C50,10,60,12,100,1705,160,131,0.8333333333333334,0.375,0.5172413793103449,0.9083969465648855,0.0916030534351145,1.25,0.32432432432432434,0.7303921568627451,0.4220880902866197,0.8225199920852094,0.7541827541827542,0.24581724581724582,48,34,26,37
RRF_A0.60_X0.40_C60,10,60,12,100,1705,160,131,0.8333333333333334,0.375,0.5172413793103449,0.9083969465648855,0.0916030534351145,1.25,0.32432432432432434,0.7303921568627451,0.4220880902866197,0.8225199920852094,0.7541827541827542,0.24581724581724582,48,34,26,37
ARAGORN_WITH_ARAX_FILTER_T50,10,56,12,104,1705,160,131,0.8235294117647058,0.35,0.49122807017543857,0.9083969465648855,0.0916030534351145,1.1666666666666667,0.32432432432432434,0.721875,0.41398623843476784,0.8584815546772069,0.7541827541827542,0.24581724581724582,48,32,24,37
ARAGORN_WITH_ARAX_FILTER_T5,10,58,19,102,1705,160,131,0.7532467532467533,0.3625,0.48945147679324896,0.8549618320610687,0.1450381679389313,1.2083333333333333,0.5135135135135135,0.6996124031007752,0.5243180226636109,0.8202627233877234,0.6811454311454311,0.31885456885456886,48,43,32,37
ARAGORN_WITH_ARAX_FILTER_T25,10,51,11,109,1705,160,131,0.8225806451612904,0.31875,0.4594594594594595,0.916030534351145,0.08396946564885496,1.0625,0.2972972972972973,0.7074074074074074,0.3271806828792123,0.8247233201581028,0.7812097812097812,0.2187902187902188,48,27,20,37
ARAGORN_WITH_ARAX_FILTER_T20,10,47,11,113,1705,160,131,0.8103448275862069,0.29375,0.43119266055045874,0.916030534351145,0.08396946564885496,0.9791666666666666,0.2972972972972973,0.6923076923076923,0.3004241469314999,0.8004329004329004,0.7812097812097812,0.2187902187902188,48,26,19,37
ARAX_RANKER,10,40,8,120,1758,160,131,0.8333333333333334,0.25,0.38461538461538464,0.9389312977099237,0.061068702290076333,0.8333333333333334,0.21621621621621623,0.7142857142857143,0.22852872209489855,0.7980754917597023,0.8622908622908623,0.1377091377091377,48,21,15,37
ARAGORN_WITH_ARAX_FILTER_T10,10,40,8,120,1705,160,131,0.8333333333333334,0.25,0.38461538461538464,0.9389312977099237,0.061068702290076333,0.8333333333333334,0.21621621621621623,0.7142857142857143,0.22852872209489855,0.7980754917597023,0.8622908622908623,0.1377091377091377,48,21,15,37
