method,target_k,positive_hits,negative_hits,false_negatives,top_k_size,positive_totals,negative_totals,precision_micro,positive_recall_micro,f1_micro,negative_specificity_micro,negative_exposure_micro,positive_hits_per_group_mean,negative_hits_per_group_mean,precision_macro,positive_recall_macro,f1_macro,negative_specificity_macro,negative_exposure_macro,eligible_positive_groups,eligible_precision_groups,eligible_f1_groups,eligible_negative_groups
RRF_A0.50_X0.50_C50,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.50_X0.50_C60,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.60_X0.40_C10,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.60_X0.40_C20,10,206,7,78,1655,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.60_X0.40_C40,10,206,7,78,1655,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.60_X0.40_C50,10,206,7,78,1655,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.60_X0.40_C60,10,206,7,78,1655,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.70_X0.30_C10,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.70_X0.30_C20,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.70_X0.30_C40,10,206,7,78,1656,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.70_X0.30_C50,10,206,7,78,1656,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.70_X0.30_C60,10,206,7,78,1656,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.80_X0.20_C10,10,206,7,78,1659,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.80_X0.20_C20,10,206,7,78,1659,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.80_X0.20_C40,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.80_X0.20_C50,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.80_X0.20_C60,10,206,7,78,1657,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
